tau,r,phi,t,E
2.399999999999801e+00,2.205380020195030e+00,9.736356088169733e-01,4.374326109446476e+00,-3.916912898883320e-02
2.419999999999799e+00,2.206840055279625e+00,9.810324812058674e-01,4.409338193457803e+00,-3.916015038242131e-02
2.439999999999797e+00,2.208297646496173e+00,9.884195807870986e-01,4.444331105004905e+00,-3.915130297579885e-02
2.459999999999794e+00,2.209752825602774e+00,9.957969431328779e-01,4.479304922149131e+00,-3.914258530247338e-02
2.479999999999792e+00,2.211205624115125e+00,1.003164603457347e+00,4.514259722141883e+00,-3.913399591897784e-02
2.499999999999790e+00,2.212656073309157e+00,1.010522596620674e+00,4.549195581434549e+00,-3.912553340446048e-02
2.519999999999788e+00,2.214104204223627e+00,1.017870957133096e+00,4.584112575688317e+00,-3.911719636028251e-02
2.539999999999786e+00,2.215550047662688e+00,1.025209719158906e+00,4.619010779783778e+00,-3.910898340962395e-02
2.559999999999783e+00,2.216993634198408e+00,1.032538916520378e+00,4.653890267830470e+00,-3.910089319709766e-02
2.579999999999781e+00,2.218434994173254e+00,1.039858582701653e+00,4.688751113176211e+00,-3.909292438837066e-02
2.599999999999779e+00,2.219874157702547e+00,1.047168750852562e+00,4.723593388416343e+00,-3.908507566979363e-02
2.619999999999777e+00,2.221311154676872e+00,1.054469453792395e+00,4.758417165402804e+00,-3.907734574803731e-02
2.639999999999775e+00,2.222746014764461e+00,1.061760724013629e+00,4.793222515253103e+00,-3.906973334973631e-02
2.659999999999772e+00,2.224178767413538e+00,1.069042593685601e+00,4.828009508359132e+00,-3.906223722114004e-02
2.679999999999770e+00,2.225609441854635e+00,1.076315094658128e+00,4.862778214395875e+00,-3.905485612777043e-02
2.699999999999768e+00,2.227038067102860e+00,1.083578258465088e+00,4.897528702329974e+00,-3.904758885408648e-02
2.719999999999766e+00,2.228464671960160e+00,1.090832116327941e+00,4.932261040428189e+00,-3.904043420315561e-02
2.739999999999764e+00,2.229889285017518e+00,1.098076699159215e+00,4.966975296265715e+00,-3.903339099633068e-02
2.759999999999761e+00,2.231311934657150e+00,1.105312037565945e+00,5.001671536734406e+00,-3.902645807293444e-02
2.779999999999759e+00,2.232732649054652e+00,1.112538161853056e+00,5.036349828050849e+00,-3.901963428994928e-02
2.799999999999757e+00,2.234151456181119e+00,1.119755102026714e+00,5.071010235764368e+00,-3.901291852171328e-02
2.819999999999755e+00,2.235568383805238e+00,1.126962887797626e+00,5.105652824764873e+00,-3.900630965962253e-02
2.839999999999753e+00,2.236983459495355e+00,1.134161548584302e+00,5.140277659290615e+00,-3.899980661183821e-02
2.859999999999750e+00,2.238396710621499e+00,1.141351113516268e+00,5.174884802935838e+00,-3.899340830300043e-02
2.879999999999748e+00,2.239808164357397e+00,1.148531611437247e+00,5.209474318658314e+00,-3.898711367394699e-02
