tau,r,phi,t,E
8.600000000000006e-02,4.961465288943977e+00,0.000000000000000e+00,1.076041645825920e-01,-7.766800493776288e-04
8.700000000000006e-02,4.961016331841674e+00,0.000000000000000e+00,1.088566107348227e-01,-7.858000367407525e-04
8.800000000000006e-02,4.960567354423817e+00,0.000000000000000e+00,1.101090855025582e-01,-7.949220877127711e-04
8.900000000000007e-02,4.960118356686726e+00,0.000000000000000e+00,1.113615888935817e-01,-8.040462030409062e-04
9.000000000000007e-02,4.959669338626724e+00,0.000000000000000e+00,1.126141209156801e-01,-8.131723834727128e-04
9.100000000000007e-02,4.959220300240131e+00,0.000000000000000e+00,1.138666815766434e-01,-8.223006297561619e-04
9.200000000000007e-02,4.958771241523265e+00,0.000000000000000e+00,1.151192708842651e-01,-8.314309426395439e-04
9.300000000000007e-02,4.958322162472443e+00,0.000000000000000e+00,1.163718888463419e-01,-8.405633228715931e-04
9.400000000000007e-02,4.957873063083984e+00,0.000000000000000e+00,1.176245354706738e-01,-8.496977712013493e-04
9.500000000000007e-02,4.957423943354200e+00,0.000000000000000e+00,1.188772107650642e-01,-8.588342883782685e-04
9.600000000000007e-02,4.956974803279409e+00,0.000000000000000e+00,1.201299147373200e-01,-8.679728751521398e-04
9.700000000000007e-02,4.956525642855921e+00,0.000000000000000e+00,1.213826473952510e-01,-8.771135322731688e-04
9.800000000000007e-02,4.956076462080049e+00,0.000000000000000e+00,1.226354087466709e-01,-8.862562604919216e-04
9.900000000000007e-02,4.955627260948104e+00,0.000000000000000e+00,1.238881987993962e-01,-8.954010605593254e-04
1.000000000000001e-01,4.955178039456395e+00,0.000000000000000e+00,1.251410175612471e-01,-9.045479332266959e-04
1.010000000000001e-01,4.954728797601230e+00,0.000000000000000e+00,1.263938650400470e-01,-9.136968792457095e-04
1.020000000000001e-01,4.954279535378916e+00,0.000000000000000e+00,1.276467412436227e-01,-9.228478993684314e-04
1.030000000000001e-01,4.953830252785759e+00,0.000000000000000e+00,1.288996461798043e-01,-9.320009943473012e-04
1.040000000000001e-01,4.953380949818065e+00,0.000000000000000e+00,1.301525798564253e-01,-9.411561649351335e-04
1.050000000000001e-01,4.952931626472137e+00,0.000000000000000e+00,1.314055422813226e-01,-9.503134118851037e-04
1.060000000000001e-01,4.952482282744277e+00,0.000000000000000e+00,1.326585334623362e-01,-9.594727359507754e-04
1.070000000000001e-01,4.952032918630787e+00,0.000000000000000e+00,1.339115534073098e-01,-9.686341378860736e-04
1.080000000000001e-01,4.951583534127966e+00,0.000000000000000e+00,1.351646021240903e-01,-9.777976184453252e-04
1.090000000000001e-01,4.951134129232114e+00,0.000000000000000e+00,1.364176796205278e-01,-9.869631783832322e-04
1.100000000000001e-01,4.950684703939529e+00,0.000000000000000e+00,1.376707859044760e-01,-9.961308184548434e-04
1.110000000000001e-01,4.950235258246506e+00,0.000000000000000e+00,1.389239209837919e-01,-1.005300539415624e-03
1.120000000000001e-01,4.949785792149342e+00,0.000000000000000e+00,1.401770848663358e-01,-1.014472342021372e-03
1.130000000000001e-01,4.949336305644331e+00,0.000000000000000e+00,1.414302775599715e-01,-1.023646227028288e-03
1.140000000000001e-01,4.948886798727766e+00,0.000000000000000e+00,1.426834990725660e-01,-1.032822195192962e-03
1.150000000000001e-01,4.948437271395938e+00,0.000000000000000e+00,1.439367494119897e-01,-1.042000247272343e-03
1.160000000000001e-01,4.947987723645138e+00,0.000000000000000e+00,1.451900285861166e-01,-1.051180384023784e-03
1.170000000000001e-01,4.947538155471656e+00,0.000000000000000e+00,1.464433366028237e-01,-1.060362606204970e-03
1.180000000000001e-01,4.947088566871780e+00,0.000000000000000e+00,1.476966734699918e-01,-1.069546914574004e-03
1.190000000000001e-01,4.946638957841797e+00,0.000000000000000e+00,1.489500391955046e-01,-1.078733309889363e-03
1.200000000000001e-01,4.946189328377994e+00,0.000000000000000e+00,1.502034337872497e-01,-1.087921792909868e-03
