tau,r,phi,t,E
2.320000000000002e-01,4.895700621871226e+00,0.000000000000000e+00,2.907682138962885e-01,-2.130428026232312e-03
2.340000000000002e-01,4.894796675599844e+00,0.000000000000000e+00,2.932816599393425e-01,-2.149288956670783e-03
2.360000000000002e-01,4.893892645852642e+00,0.000000000000000e+00,2.957952251678077e-01,-2.168158597375042e-03
2.380000000000002e-01,4.892988532598777e+00,0.000000000000000e+00,2.983089096480452e-01,-2.187036954782881e-03
2.400000000000002e-01,4.892084335807386e+00,0.000000000000000e+00,3.008227134464739e-01,-2.205924035338688e-03
2.420000000000002e-01,4.891180055447586e+00,0.000000000000000e+00,3.033366366295708e-01,-2.224819845493414e-03
2.440000000000002e-01,4.890275691488474e+00,0.000000000000000e+00,3.058506792638711e-01,-2.243724391704560e-03
2.460000000000002e-01,4.889371243899128e+00,0.000000000000000e+00,3.083648414159680e-01,-2.262637680436164e-03
2.480000000000002e-01,4.888466712648603e+00,0.000000000000000e+00,3.108791231525132e-01,-2.281559718158896e-03
2.500000000000002e-01,4.887562097705938e+00,0.000000000000000e+00,3.133935245402166e-01,-2.300490511349979e-03
2.520000000000002e-01,4.886657399040147e+00,0.000000000000000e+00,3.159080456458466e-01,-2.319430066493225e-03
2.540000000000002e-01,4.885752616620229e+00,0.000000000000000e+00,3.184226865362298e-01,-2.338378390079096e-03
2.560000000000002e-01,4.884847750415159e+00,0.000000000000000e+00,3.209374472782516e-01,-2.357335488604631e-03
2.580000000000002e-01,4.883942800393895e+00,0.000000000000000e+00,3.234523279388560e-01,-2.376301368573475e-03
2.600000000000002e-01,4.883037766525372e+00,0.000000000000000e+00,3.259673285850456e-01,-2.395276036495933e-03
2.620000000000002e-01,4.882132648778507e+00,0.000000000000000e+00,3.284824492838817e-01,-2.414259498888946e-03
2.640000000000002e-01,4.881227447122196e+00,0.000000000000000e+00,3.309976901024845e-01,-2.433251762276073e-03
2.660000000000002e-01,4.880322161525315e+00,0.000000000000000e+00,3.335130511080331e-01,-2.452252833187576e-03
2.680000000000002e-01,4.879416791956719e+00,0.000000000000000e+00,3.360285323677654e-01,-2.471262718160339e-03
2.700000000000002e-01,4.878511338385244e+00,0.000000000000000e+00,3.385441339489786e-01,-2.490281423737931e-03
2.720000000000002e-01,4.877605800779705e+00,0.000000000000000e+00,3.410598559190288e-01,-2.509308956470627e-03
2.740000000000002e-01,4.876700179108897e+00,0.000000000000000e+00,3.435756983453313e-01,-2.528345322915335e-03
2.760000000000002e-01,4.875794473341594e+00,0.000000000000000e+00,3.460916612953607e-01,-2.547390529635735e-03
2.780000000000002e-01,4.874888683446552e+00,0.000000000000000e+00,3.486077448366507e-01,-2.566444583202140e-03
2.800000000000002e-01,4.873982809392503e+00,0.000000000000000e+00,3.511239490367948e-01,-2.585507490191666e-03
2.820000000000002e-01,4.873076851148162e+00,0.000000000000000e+00,3.536402739634456e-01,-2.604579257188072e-03
2.840000000000002e-01,4.872170808682221e+00,0.000000000000000e+00,3.561567196843153e-01,-2.623659890781893e-03
2.860000000000002e-01,4.871264681963354e+00,0.000000000000000e+00,3.586732862671757e-01,-2.642749397570393e-03
2.880000000000002e-01,4.870358470960214e+00,0.000000000000000e+00,3.611899737798583e-01,-2.661847784157595e-03
2.900000000000002e-01,4.869452175641432e+00,0.000000000000000e+00,3.637067822902544e-01,-2.680955057154294e-03
2.920000000000002e-01,4.868545795975620e+00,0.000000000000000e+00,3.662237118663150e-01,-2.700071223178016e-03
2.940000000000002e-01,4.867639331931369e+00,0.000000000000000e+00,3.687407625760509e-01,-2.719196288853087e-03
2.960000000000002e-01,4.866732783477250e+00,0.000000000000000e+00,3.712579344875331e-01,-2.738330260810662e-03
2.980000000000002e-01,4.865826150581814e+00,0.000000000000000e+00,3.737752276688925e-01,-2.757473145688596e-03
3.000000000000002e-01,4.864919433213590e+00,0.000000000000000e+00,3.762926421883200e-01,-2.776624950131618e-03
3.020000000000002e-01,4.864012631341087e+00,0.000000000000000e+00,3.788101781140668e-01,-2.795785680791293e-03
3.040000000000002e-01,4.863105744932794e+00,0.000000000000000e+00,3.813278355144442e-01,-2.814955344325923e-03
3.060000000000002e-01,4.862198773957179e+00,0.000000000000000e+00,3.838456144578241e-01,-2.834133947400716e-03
3.080000000000002e-01,4.861291718382689e+00,0.000000000000000e+00,3.863635150126385e-01,-2.853321496687683e-03
3.100000000000002e-01,4.860384578177752e+00,0.000000000000000e+00,3.888815372473799e-01,-2.872517998865703e-03
3.120000000000002e-01,4.859477353310773e+00,0.000000000000000e+00,3.913996812306014e-01,-2.891723460620499e-03
3.140000000000002e-01,4.858570043750138e+00,0.000000000000000e+00,3.939179470309166e-01,-2.910937888644660e-03
3.160000000000002e-01,4.857662649464213e+00,0.000000000000000e+00,3.964363347170001e-01,-2.930161289637662e-03
