tau,r,phi,t,E
3.199999999999759e+00,1.020943392510715e+01,9.225216209438922e-02,3.512127159100639e+00,-1.003032002235413e-02
3.219999999999756e+00,1.020959015271396e+01,9.282778926617244e-02,3.534075990351266e+00,-1.003069774565687e-02
3.239999999999754e+00,1.020974734739792e+01,9.340339876715657e-02,3.556024785020327e+00,-1.003107778105862e-02
3.259999999999752e+00,1.020990550909246e+01,9.397899048911862e-02,3.577973542883339e+00,-1.003146012791754e-02
3.279999999999750e+00,1.021006463773063e+01,9.455456432385825e-02,3.599922263715855e+00,-1.003184478558796e-02
3.299999999999748e+00,1.021022473324507e+01,9.513012016319794e-02,3.621870947293468e+00,-1.003223175342034e-02
3.319999999999745e+00,1.021038579556800e+01,9.570565789898308e-02,3.643819593391813e+00,-1.003262103076131e-02
3.339999999999743e+00,1.021054782463124e+01,9.628117742308200e-02,3.665768201786564e+00,-1.003301261695369e-02
3.359999999999741e+00,1.021071082036621e+01,9.685667862738627e-02,3.687716772253432e+00,-1.003340651133643e-02
3.379999999999739e+00,1.021087478270394e+01,9.743216140381081e-02,3.709665304568168e+00,-1.003380271324473e-02
3.399999999999737e+00,1.021103971157502e+01,9.800762564429388e-02,3.731613798506566e+00,-1.003420122200991e-02
3.419999999999734e+00,1.021120560690968e+01,9.858307124079740e-02,3.753562253844457e+00,-1.003460203695946e-02
3.439999999999732e+00,1.021137246863770e+01,9.915849808530702e-02,3.775510670357716e+00,-1.003500515741709e-02
3.459999999999730e+00,1.021154029668849e+01,9.973390606983212e-02,3.797459047822256e+00,-1.003541058270266e-02
3.479999999999728e+00,1.021170909099104e+01,1.003092950864062e-01,3.819407386014031e+00,-1.003581831213226e-02
3.499999999999726e+00,1.021187885147396e+01,1.008846650270867e-01,3.841355684709039e+00,-1.003622834501812e-02
3.519999999999723e+00,1.021204957806543e+01,1.014600157839556e-01,3.863303943683317e+00,-1.003664068066869e-02
3.539999999999721e+00,1.021222127069322e+01,1.020353472491189e-01,3.885252162712943e+00,-1.003705531838858e-02
3.559999999999719e+00,1.021239392928473e+01,1.026106593147074e-01,3.907200341574040e+00,-1.003747225747866e-02
3.579999999999717e+00,1.021256755376693e+01,1.031859518728764e-01,3.929148480042771e+00,-1.003789149723591e-02
3.599999999999715e+00,1.021274214406639e+01,1.037612248158062e-01,3.951096577895342e+00,-1.003831303695361e-02
3.619999999999712e+00,1.021291770010930e+01,1.043364780357017e-01,3.973044634908001e+00,-1.003873687592115e-02
3.639999999999710e+00,1.021309422182142e+01,1.049117114247930e-01,3.994992650857039e+00,-1.003916301342421e-02
3.659999999999708e+00,1.021327170912812e+01,1.054869248753356e-01,4.016940625518795e+00,-1.003959144874460e-02
3.679999999999706e+00,1.021345016195436e+01,1.060621182796100e-01,4.038888558669640e+00,-1.004002218116039e-02
3.699999999999704e+00,1.021362958022471e+01,1.066372915299223e-01,4.060836450086000e+00,-1.004045520994587e-02
3.719999999999701e+00,1.021380996386332e+01,1.072124445186042e-01,4.082784299544340e+00,-1.004089053437151e-02
